state,county,site,date,OC PM2.5 LC TOR,OC PM2.5 LC TOT
04,019,1028,2022-03-12,1.082,1.21088
04,019,1028,2022-03-15,1.298,1.35718
04,019,1028,2022-03-18,1.156,1.22147
04,019,1028,2022-03-21,1.528,1.54178
04,019,1028,2022-03-24,1.765,1.81167
04,019,1028,2022-03-30,0.911,0.96008
04,019,1028,2022-04-02,0.889,0.94497
04,019,1028,2022-04-05,1.223,1.25601
04,019,1028,2022-04-08,1.247,1.34596
04,019,1028,2022-04-11,0.587,0.60457
04,019,1028,2022-04-14,1.324,1.36371
04,019,1028,2022-04-17,0.998,1.02968
04,019,1028,2022-04-20,0.901,0.93353
04,019,1028,2022-04-23,0.753,0.76057
04,019,1028,2022-04-26,1.671,1.67343
04,019,1028,2022-04-29,1.024,1.02179
04,019,1028,2022-05-02,0.911,0.91354
04,019,1028,2022-05-05,0.983,1.0314
04,019,1028,2022-05-08,0.612,0.67022
04,019,1028,2022-05-11,0.949,0.98307
04,019,1028,2022-05-14,0.934,0.97649
04,019,1028,2022-05-17,0.648,0.67321
04,019,1028,2022-05-20,0.526,0.55706
04,019,1028,2022-05-23,0.475,0.50374
04,019,1028,2022-05-26,1.031,1.08163
04,019,1028,2022-05-29,0.509,0.52614
05,119,0007,2022-01-02,0.859,0.9527
05,119,0007,2022-01-20,0.884,0.94206
05,119,0007,2022-01-23,4.965,5.50606
05,119,0007,2022-01-26,1.761,2.04917
05,119,0007,2022-02-04,1.6,1.78153
05,119,0007,2022-02-07,3.522,3.91349
05,119,0007,2022-02-16,2.834,3.14786
05,119,0007,2022-02-22,1.316,1.35461
05,119,0007,2022-02-25,1.07,1.244
05,119,0007,2022-03-03,8.413,9.60451
05,119,0007,2022-03-06,2.17,2.40053
05,119,0007,2022-03-12,1.092,1.21871
05,119,0007,2022-03-15,3.407,3.74416
05,119,0007,2022-03-27,1.718,2.00756
05,119,0007,2022-03-30,1.404,1.48599
05,119,0007,2022-04-05,3.483,3.79222
05,119,0007,2022-04-08,0.77,0.85052
05,119,0007,2022-04-11,2.086,2.17469
05,119,0007,2022-04-23,1.82,1.92214
05,119,0007,2022-05-05,1.367,1.54301
05,119,0007,2022-05-08,1.608,1.81694
05,119,0007,2022-05-11,4.893,5.26225
05,119,0007,2022-05-14,2.952,3.24583
05,119,0007,2022-05-17,2.877,3.27577
05,119,0007,2022-05-20,3.404,3.70451
05,119,0007,2022-05-23,1.314,1.55028
05,119,0007,2022-05-26,0.84,0.90462
05,119,0007,2022-05-29,3.222,3.416
06,019,0011,2022-01-02,7.755,8.82771
06,019,0011,2022-01-06,4.342,4.99619
06,019,0011,2022-01-08,2.126,2.43342
06,019,0011,2022-01-11,7.421,8.2559
06,019,0011,2022-01-14,8.021,9.23063
06,019,0011,2022-01-17,6.702,7.43335
06,019,0011,2022-01-20,6.723,7.5842
06,019,0011,2022-01-23,8.291,9.46155
06,019,0011,2022-01-26,6.186,6.73653
06,019,0011,2022-01-29,8.331,9.32088
06,019,0011,2022-02-01,6.712,7.38634
06,019,0011,2022-02-04,4.775,5.18794
06,019,0011,2022-02-07,5.726,6.44592
06,019,0011,2022-02-11,6.141,6.47252
06,019,0011,2022-02-13,6.479,7.12575
06,019,0011,2022-02-16,2.015,2.20966
06,019,0011,2022-02-19,6.985,7.71392
06,019,0011,2022-02-22,0.985,1.01729
06,019,0011,2022-02-25,3.684,4.13367
06,019,0011,2022-02-28,4.275,4.61365
06,019,0011,2022-03-03,3.136,3.56344
06,019,0011,2022-03-06,3.624,3.95909
06,019,0011,2022-03-09,1.993,2.19543
06,019,0011,2022-03-12,2.752,3.0904
06,019,0011,2022-03-15,1.859,2.0339
06,019,0011,2022-03-18,2.73,2.96343
06,019,0011,2022-03-21,2.549,2.73966
06,019,0011,2022-03-24,3.017,3.19018
06,019,0011,2022-03-27,1.007,1.02825
06,019,0011,2022-03-30,1.799,1.99343
06,019,0011,2022-04-08,3.57,3.76642
06,019,0011,2022-04-11,0.803,0.81119
06,019,0011,2022-04-14,0.84,0.8754
06,019,0011,2022-04-17,1.675,1.75201
06,019,0011,2022-04-20,1.044,1.08377
06,019,0011,2022-04-23,1.216,1.3351
06,019,0011,2022-04-26,2.183,2.27749
06,019,0011,2022-04-29,1.619,1.81113
06,019,0011,2022-05-02,1.233,1.30163
06,019,0011,2022-05-05,2.282,2.42492
06,019,0011,2022-05-08,0.959,0.96405
06,019,0011,2022-05-11,0.925,1.00338
06,019,0011,2022-05-14,1.935,2.15979
06,019,0011,2022-05-17,1.627,1.6712
06,019,0011,2022-05-20,1.511,1.53993
