value,state,zcta,lat,lon,pov,zcta_pop,CMAQ
11.36869565,Delaware,19943,38.986672,-75.5568,11.8,11425,8.936071546
11.27678571,Delaware,19901,39.155,-75.518056,0.825,35055,8.936071546
12.98316832,Delaware,19809,39.761111,-75.491944,5.3,14049,10.00607413
11.48425926,Delaware,19701,39.5513,-75.732,3.5,39194,9.75057813
12.61388889,Delaware,19716,39.691962,-75.761299,2.325,1568,10.00607413
13.52922252,Delaware,19801,39.739444,-75.558056,31.8,16286,10.00607413
12.24827586,Delaware,19973,38.6539,-75.6106,14.3,23838,9.009156591
12.10485437,District Of Columbia,20019,38.895572,-76.958072,25.1,54358,12.50397672
12.43697479,District Of Columbia,20024,38.876255,-77.034059,18.9,11510,10.37936426
11.68633721,District Of Columbia,20010,38.921847,-77.013178,13,30138,10.37936426
7.258333333,Florida,32606,29.706111,-82.387778,4.7,21833,8.52273932
7.940677966,Florida,32605,29.658333,-82.408333,19.5,22925,8.52273932
9.909322034,Florida,32404,30.144167,-85.614444,14.5,38425,8.909907716
7.555371901,Florida,32901,28.053611,-80.628611,12.3,24521,7.032765673
7.38606357,Florida,33314,26.083143,-80.237586,15,21885,5.398935289
7.402654867,Florida,33060,26.217222,-80.127778,21.4,32154,5.656091419
8.130088496,Florida,33020,26.000833,-80.160556,14.3,41329,6.04852418
7.815441176,Florida,34428,28.980556,-82.7,7,9109,8.296370329
8.464553314,Florida,32223,30.135556,-81.634167,2.3,23980,8.844856129
9.145308311,Florida,32225,30.354722,-81.547778,14.4,52485,7.167520494
9.639189189,Florida,32514,30.525367,-87.20355,10.3,37399,7.523407184
8.552955665,Florida,33609,27.931944,-82.509722,1.1,15999,9.425857633
8.231197772,Florida,33527,27.96565,-82.2304,20.2,15203,10.12499283
7.023333333,Florida,33901,26.602016,-81.877908,11.5,19500,7.480289059
10.56737589,Florida,32304,30.439722,-84.346389,38.9,46145,11.39816334
7.967826087,Florida,33015,25.941944,-80.326389,11.4,63544,5.398935289
8.256666667,Florida,33136,25.794222,-80.215556,31.7,13791,6.100081903
7.211730205,Florida,33030,25.471944,-80.482778,26.9,34110,4.64597954
7.545810056,Florida,32803,28.550833,-81.345556,5.5,19020,10.59791907
7.437371134,Florida,32789,28.596389,-81.3625,8.8,24557,10.59791907
6.19602649,Florida,33430,26.724444,-80.666667,42.3,21427,9.015444077
6.083193277,Florida,33411,26.730833,-80.233889,6.6,65245,5.98265848
6.600529101,Florida,33445,26.456944,-80.092778,15.5,29754,5.656091419
8.080154639,Florida,33710,27.785866,-82.739875,5.4,32780,9.583188
8.062608696,Florida,33755,27.986283,-82.78215,22.7,26146,7.312699366
8.104137931,Florida,33815,28.028889,-81.972222,23.4,14267,9.891444854
7.548648649,Florida,34947,27.448889,-80.40833,30.3,12186,5.902044962
6.931372549,Florida,34231,27.290556,-82.507222,12.5,30268,7.76904815
8.001360544,Florida,32746,28.746111,-81.310556,4.5,40571,9.468136434
12.25313433,Georgia,31206,32.777455,-83.641096,38.8,29072,11.71680091
12.23367347,Georgia,31020,32.805408,-83.543521,26.8,2541,11.71680091
11.91633987,Georgia,31408,32.092957,-81.14399,24.9,9952,8.573354613
11.4893617,Georgia,31408,32.110759,-81.161847,16.9,9952,9.002287114
12.25168539,Georgia,30605,33.918067,-83.344495,12.1,39952,9.161458727
13.84869565,Georgia,30297,33.609867,-84.391028,27.5,27188,10.52544688
13.74336283,Georgia,30144,34.015482,-84.607407,6.4,52252,8.932245796
13.07155172,Georgia,30127,33.89932,-84.661514,5.1,60347,10.52544688
12.71311953,Georgia,30034,33.68797,-84.29048,15,43113,13.4411511
13.07327824,Georgia,30341,33.901389,-84.279903,11,31793,13.4411511
12.85188679,Georgia,31705,31.576917,-84.100194,36.7,35565,11.75110069
12.96348684,Georgia,30165,34.263198,-85.304826,15,39975,9.303585787
13.28062678,Georgia,30305,33.819564,-84.389708,5.3,22999,10.52544688
14.25798319,Georgia,30313,33.77933,-84.39576,8.75,9495,10.52544688
9.829347826,Georgia,31520,31.169735,-81.495881,26.5,22336,6.847049751
12.54519231,Georgia,30043,33.96127,-84.06901,11.1,80241,9.339460927
11.87578947,Georgia,30507,34.30008,-83.81217,27.7,28399,8.244530163
11.73947368,Georgia,31098,32.6056,-83.597907,16.2,2888,11.71680091
9.554945055,Georgia,31698,30.848056,-83.294444,14.05,2223,9.930763988
13.49285714,Georgia,31901,32.483543,-84.980977,37.7,8638,9.774143543
12.59107143,Georgia,31909,32.521302,-84.944795,6.8,35177,11.06786449
13.16330275,Georgia,31903,32.42905,-84.9316,37.8,20128,11.06786449
11.89396552,Georgia,30153,33.9285,-85.04534,14.5,18411,8.926431002
13.71337209,Georgia,30912,33.469164,-81.991426,10.575,296,10.88106258
13.48316832,Georgia,30904,33.433349,-82.022217,26.6,25666,10.88106258
12.475,Georgia,30741,34.97889,-85.30098,48.3,29290,9.459333349
11.87567568,Georgia,31082,32.974881,-82.80876,20,10408,9.821763499
12.80348837,Georgia,31031,32.881829,-83.333775,8.1,6576,10.58292523
7.912658228,Idaho,83642,43.600699,-116.347853,6.6,37008,4.777593577
7.718627451,Idaho,83704,43.636111,-116.270278,13.1,39628,4.777593577
5.136440678,Idaho,83203,42.978333,-112.455,15.8,309,2.918973502
9.050442478,Idaho,83861,47.316667,-116.57028,10,6360,5.968979239
6.248888889,Idaho,83237,42.013333,-111.809167,11.1,1146,3.585955304
9.720689655,Idaho,83467,45.181897,-113.890285,12.5,6270,1.629837914
11.70163043,Idaho,83839,47.536389,-116.236667,25.8,1417,3.762412841
9.181355932,Illinois,62301,39.915409,-91.335868,4.5,33758,7.209794726
10.48793103,Illinois,61820,40.123796,-88.229531,20.7,36964,9.847546006
11.00169492,Illinois,61875,40.05278,-88.37251,21.3,761,9.000962834
12.59298246,Illinois,60617,41.687165,-87.539315,31.4,84155,16.90920694
11.78113208,Illinois,60617,41.70757,-87.568574,21.7,84155,16.90920694
12.24525994,Illinois,60630,41.965485,-87.749928,7.8,54093,12.15908766
12.03981481,Illinois,60647,41.912862,-87.722723,28.2,87291,12.15908766
11.90588235,Illinois,60652,41.7514,-87.713488,9.2,40959,12.66599036
12.92352941,Illinois,60525,41.80118,-87.832349,8,31168,12.66599036
12.52782609,Illinois,60406,41.662109,-87.696467,19.2,25460,12.66599036
13.44678899,Illinois,60176,41.965193,-87.876265,6.2,11795,12.15908766
12.04537815,Illinois,60501,41.782766,-87.805376999999993,16.2,11626,12.66599036
11.32347826,Illinois,60016,42.060285,-87.863225,4.7,59690,12.15908766
10.05689655,Illinois,60022,42.139996,-87.799227,5.1,8153,12.15908766
13.16597938,Illinois,60644,41.864426,-87.748902,29.2,48648,12.15908766
11.29152542,Illinois,60540,41.771071,-88.152534,2.2,42910,10.8586589
12.42363636,Illinois,62859,38.082155,-88.624943,3.7,5748,9.170837892
9.989285714,Illinois,62052,39.110539,-90.32408,6.8,13002,8.643841496
10.85,Illinois,60120,42.050403,-88.280015,9.4,50955,10.42447677
10.40350877,Illinois,60506,41.784717,-88.329374,2.1,53013,10.8586589
9.360655738,Illinois,60096,42.467573,-87.810047,2.5,6897,11.31861934
10.56759259,Illinois,61348,41.293015,-89.049425,5.1,4696,8.542114898
10.09009009,Illinois,60013,42.221442,-88.242207,2.9,26872,9.594217933
10.7626087,Illinois,61761,40.518735,-88.996896,9.7,52879,9.783419321
11.85932203,Illinois,62526,39.866834,-88.925594,59.4,34075,9.147611956
14.48508772,Illinois,62040,38.700632,-90.144763,32.1,43735,12.08051091
15.68585859,Illinois,62040,38.704534,-90.139675,32.1,43735,12.08051091
12.41090909,Illinois,62002,38.903085,-90.143168,13.3,32704,9.167593915
12.14661017,Illinois,62095,38.860669,-90.105851,16.5,11237,10.17815534
11.18739496,Illinois,61602,40.697007,-89.584737,22.3,1055,8.531867323
10.40862069,Illinois,62217,38.176278,-89.788459,2.8,807,9.880902014
10.68245614,Illinois,61265,41.514727,-90.51735,8.3,45099,8.892742611
12.17272727,Illinois,62207,38.612034,-90.160477,0,8750,12.08051091
12.68715596,Illinois,62226,38.529631,-89.99285,9.9,29744,14.39328259
11.08125,Illinois,62702,39.831921,-89.644164,15.2,37281,8.534604752
11.67704918,Illinois,60435,41.526885,-88.116474,9.8,48899,10.8586589
10.36166667,Illinois,60935,41.221537,-88.190967,12.6,1064,9.76348422
10.70916667,Illinois,61104,42.263081,-89.092767,32.4,19269,8.366766778
11.69906542,Indiana,46805,41.094965,-85.101816,13.5,21306,10.38323073
14.5438806,Indiana,47130,38.277675,-85.740153,33.5,44722,10.18727094
11.62389381,Indiana,47305,40.201141,-85.387999,30.3,4106,10.07465088
12.198,Indiana,47546,38.369436,-86.959031,5.6,21009,10.05661912
12.53545455,Indiana,47546,38.404778,-86.928322,5.6,21009,10.05661912
12.7364,Indiana,47546,38.391443,-86.92916,5.6,21009,10.05661912
12.25585586,Indiana,46516,41.656905,-85.968372,18.8,33501,10.67748477
12.62283951,Indiana,47150,38.308056,-85.834167,13,47472,10.18727094
11.58571429,Indiana,47660,38.322931,-87.318789,13.2,4934,9.730978032
11.3963964,Indiana,47356,40.009525,-85.523455,7.7,5781,10.07465088
11.48529412,Indiana,46902,40.485479,-86.132879,13.8,35697,10.25923224
11.64067797,Indiana,47516,38.740882,-87.484733,6.6,1249,9.43541026
11.88365385,Indiana,46312,41.636127,-87.440843,33.3,29698,16.90920694
12.51,Indiana,46402,41.60668,-87.304729,40.6,6726,16.90920694
13.88240741,Indiana,46406,41.573239,-87.405905,25.1,9900,16.90920694
11.63364486,Indiana,46319,41.546593,-87.426481,6.1,18404,16.90920694
12.22709677,Indiana,46402,41.598505,-87.342991,40.6,6726,16.90920694
12.87565292,Indiana,46323,41.585496,-87.474486,11.8,22743,16.90920694
12.48490566,Indiana,46394,41.678349,-87.508345,31.4,12258,16.90920694
11.15225225,Indiana,46360,41.707212,-86.891216,15.1,43625,12.25447286
12.18477011,Indiana,46016,40.111975,-85.679952,33,19225,10.07465088
15.09504132,Indiana,46225,39.744993,-86.166464,31.3,7319,11.88048124
13.21376147,Indiana,46201,39.760437,-86.108848,32.8,30962,11.88048124
13.05221239,Indiana,46218,39.811097,-86.114469,30.2,29028,11.88048124
13.74401914,Indiana,46222,39.788903,-86.214628,22.7,34044,9.936537341
13.25391304,Indiana,46201,39.774979,-86.12202,32.8,30962,11.88048124
10.88245614,Indiana,46368,41.617558,-87.199248,9.9,38691,16.90920694
11.3275,Indiana,46615,41.66346,-86.207826,16.5,14609,10.67748477
12.37624314,Indiana,46615,41.696692,-86.214683,6.2,14609,10.67748477
11.81339286,Indiana,47523,38.167523,-86.983214,5.7,3435,10.05661912
11.59897698,Indiana,47904,40.431639,-86.8525,20.3,16277,10.38380803
12.26646341,Indiana,47708,37.971727,-87.567236,0,439,10.35339888
12.53333333,Indiana,47710,38.021727,-87.569458,14.1,19527,10.35339888
12.45384615,Indiana,47714,37.974436,-87.532289,15,34107,10.35339888
12.26428571,Indiana,47807,39.48615,-87.401398,38.6,13045,9.587637735
11.92312704,Indiana,47803,39.456238,-87.370553,38.6,21102,9.587637735
10.38991597,Iowa,50703,42.493056,-92.343889,11,19863,7.031190848
12.15648415,Iowa,52732,41.823283000000004,-90.211982,10.1,28293,8.476871228
10.99708455,Iowa,52732,41.874999,-90.177574,3.1,28293,8.476871228
10.24444444,Iowa,52038,42.600834,-91.538493,0,491,7.055310635
10.77894737,Iowa,52245,41.657232,-91.503478,4.9,22573,8.153296681
11.43559322,Iowa,52632,40.400959,-91.391012,16.9,13086,7.147876003
10.32396694,Iowa,52402,42.00508,-91.6793,5.8,40149,7.459158074
10.76906907,Iowa,52405,41.97677,-91.68766,46.3,23621,7.459158074
8.806034483,Iowa,51573,40.969112,-95.044951,5.9,1093,6.246671444
12.54396285,Iowa,61259,41.400968,-91.067957,11.4,1276,8.227486166
8.631034483,Iowa,50536,43.123704,-94.693518,4.7,4541,5.798107302
9.744410876,Iowa,50314,41.603159,-93.643118,26,12465,7.744652554
9.542372881,Iowa,50266,41.603517,-93.7479,2.7,23625,6.429376605
10.2773913,Iowa,51510,41.264171,-95.896124,9.8,3785,7.267698066
11.86449704,Iowa,52804,41.530011,-90.587611,44.4,27379,8.892742611
11.24918033,Iowa,52804,41.550005,-90.600115,44.4,27379,8.892742611
